0.01, 0.010000, 0.999559, -0.098100, -0.098100, -9.810000, -9.810000, 0.700000, 0.100000
0.02, 0.020000, 0.998136, -0.196200, -0.196200, -9.810000, -9.810000, 0.700000, 0.100000
0.03, 0.030000, 0.995733, -0.294300, -0.294300, -9.810000, -9.810000, 0.700000, 0.100000
0.04, 0.040000, 0.992348, -0.392400, -0.392400, -9.810000, -9.810000, 0.700000, 0.100000
0.05, 0.050000, 0.987983, -0.490500, -0.490500, -9.810000, -9.810000, 0.700000, 0.100000
0.06, 0.060000, 0.982636, -0.588600, -0.588600, -9.810000, -9.810000, 0.700000, 0.100000
0.07, 0.070000, 0.976309, -0.686700, -0.686700, -9.810000, -9.810000, 0.700000, 0.100000
0.08, 0.080000, 0.969000, -0.784800, -0.784800, -9.810000, -9.810000, 0.700000, 0.100000
0.09, 0.090000, 0.960711, -0.882900, -0.882900, -9.810000, -9.810000, 0.700000, 0.100000
0.1, 0.100000, 0.951441, -0.981000, -0.981000, -9.810000, -9.810000, 0.700000, 0.100000
0.11, 0.110000, 0.941189, -1.079100, -1.079100, -9.810000, -9.810000, 0.700000, 0.100000
0.12, 0.120000, 0.929957, -1.177200, -1.177200, -9.810000, -9.810000, 0.700000, 0.100000
0.13, 0.130000, 0.917743, -1.275300, -1.275300, -9.810000, -9.810000, 0.700000, 0.100000
0.14, 0.140000, 0.904549, -1.373400, -1.373400, -9.810000, -9.810000, 0.700000, 0.100000
0.15, 0.150000, 0.890373, -1.471500, -1.471500, -9.810000, -9.810000, 0.700000, 0.100000
0.16, 0.160000, 0.875217, -1.569600, -1.569600, -9.810000, -9.810000, 0.700000, 0.100000
0.17, 0.170000, 0.859079, -1.667700, -1.667700, -9.810000, -9.810000, 0.700000, 0.100000
0.18, 0.180000, 0.841961, -1.765800, -1.765800, -9.810000, -9.810000, 0.700000, 0.100000
0.19, 0.190000, 0.823861, -1.863900, -1.863900, -9.810000, -9.810000, 0.700000, 0.100000
0.2, 0.200000, 0.804781, -1.962000, -1.962000, -9.810000, -9.810000, 0.700000, 0.100000
0.21, 0.210000, 0.784720, -2.060100, -2.060100, -9.810000, -9.810000, 0.700000, 0.100000
0.22, 0.220000, 0.763677, -2.158200, -2.158200, -9.810000, -9.810000, 0.700000, 0.100000
0.23, 0.230000, 0.741654, -2.256300, -2.256300, -9.810000, -9.810000, 0.700000, 0.100000
0.24, 0.240000, 0.718649, -2.354400, -2.354400, -9.810000, -9.810000, 0.700000, 0.100000
0.25, 0.250000, 0.694664, -2.452500, -2.452500, -9.810000, -9.810000, 0.700000, 0.100000
0.26, 0.260000, 0.669697, -2.550600, -2.550600, -9.810000, -9.810000, 0.700000, 0.100000
0.27, 0.270000, 0.643750, -2.648700, -2.648700, -9.810000, -9.810000, 0.700000, 0.100000
0.28, 0.280000, 0.616821, -2.746800, -2.746800, -9.810000, -9.810000, 0.700000, 0.100000
0.29, 0.290000, 0.588912, -2.844900, -2.844900, -9.810000, -9.810000, 0.700000, 0.100000
0.3, 0.300000, 0.560021, -2.943000, -2.943000, -9.810000, -9.810000, 0.700000, 0.100000
0.31, 0.310000, 0.530150, -3.041100, -3.041100, -9.810000, -9.810000, 0.700000, 0.100000
0.32, 0.320000, 0.499298, -3.139200, -3.139200, -9.810000, -9.810000, 0.700000, 0.100000
0.33, 0.330000, 0.467464, -3.237300, -3.237300, -9.810000, -9.810000, 0.700000, 0.100000
0.34, 0.340000, 0.434650, -3.335400, -3.335400, -9.810000, -9.810000, 0.700000, 0.100000
0.35, 0.350000, 0.400854, -3.433500, -3.433500, -9.810000, -9.810000, 0.700000, 0.100000
0.36, 0.360000, 0.366078, -3.531600, -3.531600, -9.810000, -9.810000, 0.700000, 0.100000
0.37, 0.370000, 0.330320, -3.629700, -3.629700, -9.810000, -9.810000, 0.700000, 0.100000
0.38, 0.380000, 0.293582, -3.727800, -3.727800, -9.810000, -9.810000, 0.700000, 0.100000
0.39, 0.390000, 0.255862, -3.825900, -3.825900, -9.810000, -9.810000, 0.700000, 0.100000
0.4, 0.400000, 0.217162, -3.924000, -3.924000, -9.810000, -9.810000, 0.700000, 0.100000
0.41, 0.410000, 0.177481, -4.022100, -4.022100, -9.810000, -9.810000, 0.700000, 0.100000
0.42, 0.420000, 0.136818, -4.120200, -4.120200, -9.810000, -9.810000, 0.700000, 0.100000
